# IMU Recording (MPU6050) - Movement Chain
# Start time: 2026-01-12T17:15:27.444972
# Sample rate: 100 Hz
# Port: COM3
#
timestamp,AcX,AcY,AcZ,GyX,GyY,GyZ,Tmp
2026-01-12 17:15:31.848,-2100,-19096,10152,5488,-4200,846,1292
2026-01-12 17:15:31.860,-2644,-18180,10104,5749,-4227,821,1291
2026-01-12 17:15:31.872,-2484,-18440,10272,5955,-4404,767,1283
2026-01-12 17:15:31.888,-3488,-17668,10656,6038,-4614,650,1299
2026-01-12 17:15:31.901,-3064,-16272,9708,5923,-5088,518,1292
2026-01-12 17:15:31.913,-2480,-17780,10316,5897,-5295,493,1298
2026-01-12 17:15:31.926,-1920,-18164,9612,5905,-5646,392,1284
2026-01-12 17:15:31.942,-1468,-18976,9232,6154,-5685,269,1291
2026-01-12 17:15:31.954,-1304,-18488,8936,6480,-5520,155,1294
2026-01-12 17:15:31.966,-1792,-17044,9816,6765,-5405,58,1282
2026-01-12 17:15:31.979,-2520,-16552,10200,6618,-5922,-78,1288
2026-01-12 17:15:31.995,-1844,-16644,9836,6462,-6618,-291,1285
2026-01-12 17:15:32.007,-1236,-16916,9652,6433,-6851,-429,1285
2026-01-12 17:15:32.020,-856,-17220,10024,6555,-6959,-592,1290
2026-01-12 17:15:32.032,304,-17056,9756,6851,-6765,-753,1288
2026-01-12 17:15:32.048,-44,-17068,10988,7110,-6475,-824,1283
2026-01-12 17:15:32.060,-320,-15508,12104,7256,-6463,-1011,1280
2026-01-12 17:15:32.073,-812,-15032,13116,7045,-7022,-1170,1277
2026-01-12 17:15:32.085,392,-14728,12540,6877,-7461,-1372,1278
2026-01-12 17:15:32.101,1164,-14912,12932,6918,-7366,-1494,1284
2026-01-12 17:15:32.114,2600,-14924,12712,7188,-7071,-1642,1279
